player_id,yellow_cards,red_cards,goals,assists,minutes_played,market_value_in_eur,current_club_id,last_season,log_market_value_in_eur
148907,0.0,0.0,0.0,1.0,524.0,1250000.0,443.0,2018.0,14.038654109278484
139198,1.0,0.0,0.0,0.0,425.0,600000.0,1301.0,2016.0,13.304684934198283
88709,,,,,,225000.0,281.0,2012.0,12.323855681186558
161251,17.0,0.0,3.0,6.0,5819.0,1500000.0,128.0,2019.0,14.22097566607244
863811,,,,,,50000.0,1063.0,2021.0,10.819778284410283
477546,,,,,,125000.0,410.0,2019.0,11.736069016284437
747720,2.0,0.0,0.0,1.0,302.0,800000.0,1090.0,2023.0,13.592367006650065
542691,,,,,,50000.0,1177.0,2019.0,10.819778284410283
102581,34.0,2.0,16.0,21.0,23909.0,6000000.0,16704.0,2023.0,15.60727002719233
116088,8.0,0.0,21.0,10.0,7358.0,3000000.0,533.0,2023.0,14.914122846632385
73396,12.0,3.0,0.0,1.0,19641.0,8000000.0,6195.0,2021.0,15.89495209964411
108354,61.0,3.0,69.0,41.0,27699.0,10000000.0,873.0,2023.0,16.11809565095832
382552,,,,,,200000.0,1132.0,2020.0,12.206072645530174
235964,13.0,0.0,1.0,3.0,3908.0,550000.0,1177.0,2017.0,13.217673557208654
53302,4.0,0.0,7.0,7.0,3703.0,250000.0,2760.0,2016.0,12.429216196844383
316934,9.0,0.0,8.0,10.0,7289.0,9000000.0,1025.0,2023.0,16.012735135300492
661241,0.0,0.0,0.0,0.0,110.0,50000.0,14589.0,2022.0,10.819778284410283
715759,1.0,0.0,1.0,0.0,234.0,150000.0,1894.0,2023.0,11.918390573078392
396428,12.0,0.0,0.0,0.0,3320.0,750000.0,6912.0,2023.0,13.527828485512494
72648,6.0,0.0,0.0,1.0,306.0,800000.0,6676.0,2012.0,13.592367006650065
288415,8.0,0.0,0.0,0.0,7938.0,4000000.0,1082.0,2022.0,15.201804919084164
125918,58.0,0.0,24.0,30.0,13984.0,2000000.0,265.0,2021.0,14.508657738524219
558553,,,,,,100000.0,28643.0,2020.0,11.512925464970229
396340,0.0,0.0,0.0,0.0,3.0,1000000.0,13.0,2019.0,13.815510557964274
47609,0.0,0.0,0.0,0.0,90.0,2000000.0,1186.0,2014.0,14.508657738524219
69429,14.0,1.0,4.0,1.0,3884.0,450000.0,2759.0,2013.0,13.017002861746503
531450,,,,,,800000.0,172.0,2017.0,13.592367006650065
180844,,,,,,50000.0,235.0,2013.0,10.819778284410283
14882,16.0,0.0,4.0,5.0,7354.0,3500000.0,126.0,2015.0,15.068273526459642
192265,,,,,,150000.0,4795.0,2016.0,11.918390573078392
240349,7.0,0.0,1.0,2.0,1601.0,800000.0,398.0,2023.0,13.592367006650065
83230,2.0,0.0,0.0,0.0,238.0,300000.0,19771.0,2014.0,12.611537753638338
12610,6.0,0.0,1.0,0.0,3178.0,1500000.0,43.0,2012.0,14.22097566607244
641441,,,,,,200000.0,1132.0,2019.0,12.206072645530174
684253,0.0,0.0,0.0,1.0,306.0,400000.0,1533.0,2020.0,12.89921982609012
129591,0.0,0.0,0.0,0.0,630.0,350000.0,520.0,2014.0,12.765688433465597
28698,6.0,0.0,3.0,0.0,2134.0,4800000.0,3216.0,2012.0,15.38412647587812
3926,1.0,0.0,5.0,4.0,2024.0,5000000.0,7185.0,2012.0,15.424948470398375
23197,34.0,1.0,18.0,21.0,8389.0,8000000.0,458.0,2016.0,15.89495209964411
74040,1.0,0.0,0.0,0.0,95.0,500000.0,868.0,2022.0,13.122363377404328
70229,3.0,0.0,0.0,1.0,1426.0,700000.0,2703.0,2012.0,13.458835614025542
175988,13.0,0.0,44.0,38.0,10979.0,5500000.0,449.0,2021.0,15.520258650202699
409490,,,,,,400000.0,520.0,2023.0,12.89921982609012
21227,9.0,0.0,1.0,12.0,6178.0,2000000.0,39.0,2013.0,14.508657738524219
369315,,,,,,25000.0,467.0,2016.0,10.126631103850338
860256,3.0,0.0,0.0,0.0,993.0,325000.0,19789.0,2021.0,12.691580461311874
78254,,,,,,50000.0,20698.0,2014.0,10.819778284410283
413403,25.0,1.0,5.0,3.0,13579.0,35000000.0,405.0,2023.0,17.37085861945369
120262,23.0,0.0,3.0,9.0,10704.0,700000.0,61825.0,2023.0,13.458835614025542
290733,1.0,0.0,0.0,0.0,475.0,600000.0,5.0,2018.0,13.304684934198283
187624,4.0,0.0,0.0,0.0,4006.0,1500000.0,79.0,2023.0,14.22097566607244
68718,1.0,1.0,12.0,1.0,3781.0,1750000.0,1147.0,2022.0,14.375126345899696
407398,1.0,0.0,0.0,0.0,184.0,600000.0,206.0,2022.0,13.304684934198283
719673,0.0,0.0,0.0,0.0,307.0,10000000.0,31.0,2023.0,16.11809565095832
15838,0.0,0.0,0.0,0.0,180.0,2000000.0,989.0,2015.0,14.508657738524219
267614,1.0,0.0,8.0,3.0,2315.0,450000.0,380.0,2022.0,13.017002861746503
1397,0.0,0.0,1.0,0.0,147.0,30000000.0,512.0,2012.0,17.216707939626428
914629,1.0,0.0,0.0,0.0,73.0,150000.0,2424.0,2023.0,11.918390573078392
392763,1.0,0.0,1.0,1.0,572.0,2000000.0,399.0,2022.0,14.508657738524219
199321,13.0,3.0,0.0,0.0,13166.0,10000000.0,244.0,2023.0,16.11809565095832
273053,,,,,,200000.0,2293.0,2018.0,12.206072645530174
387579,3.0,0.0,5.0,4.0,1761.0,350000.0,511.0,2023.0,12.765688433465597
318219,0.0,0.0,0.0,0.0,106.0,1000000.0,371.0,2022.0,13.815510557964274
36075,4.0,0.0,1.0,0.0,867.0,500000.0,4482.0,2012.0,13.122363377404328
337387,0.0,0.0,1.0,0.0,97.0,175000.0,800.0,2018.0,12.072541252905651
262396,13.0,1.0,0.0,0.0,15997.0,30000000.0,621.0,2023.0,17.216707939626428
618502,,,,,,10000.0,6195.0,2019.0,9.210340371976184
158868,,,,,,350000.0,681.0,2012.0,12.765688433465597
503619,5.0,0.0,1.0,0.0,917.0,2200000.0,19.0,2019.0,14.603967918328545
394326,0.0,0.0,0.0,0.0,191.0,800000.0,2715.0,2022.0,13.592367006650065
693312,,,,,,200000.0,273.0,2022.0,12.206072645530174
293746,28.0,3.0,6.0,6.0,11622.0,1800000.0,370.0,2022.0,14.403297222866392
37731,1.0,0.0,0.0,0.0,45.0,900000.0,1627.0,2013.0,13.710150042306449
66114,3.0,0.0,0.0,0.0,148.0,250000.0,5219.0,2012.0,12.429216196844383
13997,,,,,,1200000.0,180.0,2012.0,13.997832114758229
16891,4.0,1.0,0.0,0.0,1607.0,2250000.0,1210.0,2013.0,14.626440774180603
31880,32.0,1.0,3.0,2.0,17818.0,1250000.0,403.0,2020.0,14.038654109278484
134657,0.0,0.0,1.0,0.0,333.0,750000.0,1268.0,2019.0,13.527828485512494
184672,16.0,0.0,32.0,15.0,9435.0,18000000.0,1531.0,2021.0,16.70588231586044
31050,8.0,1.0,0.0,0.0,2451.0,3700000.0,150.0,2013.0,15.123843377614453
503867,0.0,0.0,0.0,1.0,228.0,200000.0,5817.0,2021.0,12.206072645530174
123595,7.0,0.0,0.0,2.0,4256.0,600000.0,28643.0,2019.0,13.304684934198283
22068,39.0,3.0,61.0,94.0,20254.0,50000000.0,380.0,2022.0,17.72753356339242
635347,0.0,0.0,0.0,0.0,4.0,1000000.0,1050.0,2022.0,13.815510557964274
58761,0.0,0.0,0.0,0.0,8.0,200000.0,126.0,2013.0,12.206072645530174
110911,6.0,0.0,0.0,5.0,2229.0,1500000.0,499.0,2016.0,14.22097566607244
474621,1.0,0.0,0.0,0.0,26.0,500000.0,1025.0,2018.0,13.122363377404328
462770,,,,,,25000.0,1506.0,2016.0,10.126631103850338
107114,4.0,0.0,4.0,2.0,1395.0,350000.0,369.0,2022.0,12.765688433465597
224736,11.0,1.0,1.0,0.0,4177.0,750000.0,23611.0,2016.0,13.527828485512494
36813,12.0,0.0,0.0,2.0,5011.0,1500000.0,19771.0,2014.0,14.22097566607244
396429,17.0,1.0,0.0,3.0,4485.0,400000.0,2423.0,2022.0,12.89921982609012
40500,7.0,2.0,2.0,2.0,2722.0,9000000.0,449.0,2013.0,16.012735135300492
